airportName,airporCity,airportCountryCode,airportContinent,airporElevation
Atbasar Airport,Atbasar,KZ,AS,1010
Sion Airport,Sion,CH,EU,1585
Hachijojima Airport,Hachijojima,JP,AS,303
Northern Peninsula Airport,Bamaga,AU,OC,34
Diyawanna Oya Seaplane Base,Kotte,LK,AS,-10
Morondava Airport,,MG,AF,30
Muanda Airport,,CD,AF,89
Kaimana Airport,Kaimana-Papua Island,ID,AS,19
Port Elizabeth Airport,Port Elizabeth,ZA,AF,226
Maleo Airport,Morowali,ID,AS,12
Oiapoque Airport,Oiapoque,BR,SA,63
Phillips Army Air Field,Aberdeen Proving Grounds(Aberdeen),US,NA,57
Coronel Altino Machado de Oliveira Airport,Governador Valadares,BR,SA,561
Víctor Lafón Airport,San Felipe,CL,SA,2188
Chennault International Airport,Lake Charles,US,NA,17
Kirkimbie Station Airport,Kirkimbie,AU,OC,
Ghazni Airport,Ghazni,AF,AS,7150
Ossima Airport,Ossima,PG,OC,205
Kikori Airport,Kikori,PG,OC,50
Asbury Park Neptune Air Terminal,Asbury Park,US,NA,95
Shinyanga Airport,Shinyanga,TZ,AF,3800
Rosario Seaplane Base,Rosario,US,NA,
Jacmel Airport,Jacmel,HT,NA,167
Arthur's Town Airport,Arthur's Town,BS,NA,18
Kondavattavana Tank Seaplane Base,Ampara,LK,AS,95
Vredendal Airport,Vredendal,ZA,AF,330
Tezu Airport,Tezu,IN,AS,800
Amakusa Airport,,JP,AS,340
Houlton International Airport,Houlton,US,NA,489
Pdte. Carlos Ibañez del Campo Airport,Punta Arenas,CL,SA,139
Hiroshimanishi Airport,,JP,AS,15
Noi Bai International Airport,Hanoi,VN,AS,39
Kalaupapa Airport,Kalaupapa,US,NA,24
Tougan Airport,Tougan,BF,AF,984
Lastourville Airport,Lastourville,GA,AF,1585
Tuntutuliak Airport,Tuntutuliak,US,NA,16
Mouyondzi Airport,Mouyondzi,CG,AF,1670
Toksook Bay Airport,Toksook Bay,US,NA,59
Mekoryuk Airport,Mekoryuk,US,NA,48
Codrington Airport,Codrington,AG,NA,15
Browns Airport,Weeping Water,US,NA,1183
Loring International Airport,Limestone,US,NA,746
Maquinchao Airport,Maquinchao,AR,SA,2912
Proserpine Whitsunday Coast Airport,Proserpine,AU,OC,82
Fergana International Airport,Fergana,UZ,AS,1980
Hayman Island Resort Seaplane Base,Hayman Island,AU,OC,
Keshod Airport,,IN,AS,167
Monument Valley Airport,Goulding's Lodge,US,NA,5192
Zalingei Airport,Zalingei,SD,AF,3020
Cadjehoun Airport,Cotonou,BJ,AF,19
Memphis International Airport,Memphis,US,NA,341
Port Bergé Airport,Port Bergé,MG,AF,213
Wexford County Airport,Cadillac,US,NA,1307
Les Bases Airport,Grand Bourg,GP,NA,16
Bishop International Airport,Flint,US,NA,782
Patrick Air Force Base,Cocoa Beach,US,NA,8
Zyryanka Airport,Zyryanka,RU,AS,140
Vista Field,Kennewick,US,NA,534
Fort Madison Municipal Airport,Fort Madison,US,NA,724
Simmons Army Air Field,Fort Bragg,US,NA,244
Pembroke Airport,Pembroke,CA,NA,529
Sullivan County International Airport,Monticello,US,NA,1403
Fillmore Municipal Airport,Fillmore,US,NA,4985
Chuathbaluk Airport,Chuathbaluk,US,NA,244
